Engineered,Normal,Ligand,Catalyst,Substrate,Solvent,Reaction,VSA,Structural,Electronic,Experimental
,PEOE_VSA10_Lig,,,,,,,,,
,PEOE_VSA10_Sol,,,,,,,,,
,PEOE_VSA10_Sub,,,,,,,,,
,PEOE_VSA11_Cat,,,,,,,,,
,PEOE_VSA11_Lig,,,,,,,,,
,PEOE_VSA11_Sol,,,,,,,,,
,PEOE_VSA11_Sub,,,,,,,,,
,PEOE_VSA12_Cat,,,,,,,,,
,PEOE_VSA12_Lig,,,,,,,,,
,PEOE_VSA12_Sol,,,,,,,,,
,PEOE_VSA12_Sub,,,,,,,,,
,PEOE_VSA13_Cat,,,,,,,,,
,PEOE_VSA13_Lig,,,,,,,,,
,PEOE_VSA13_Sol,,,,,,,,,
,PEOE_VSA13_Sub,,,,,,,,,
,PEOE_VSA14_Cat,,,,,,,,,
,PEOE_VSA14_Lig,,,,,,,,,
,PEOE_VSA14_Sol,,,,,,,,,
,PEOE_VSA14_Sub,,,,,,,,,
,PEOE_VSA2_Cat,,,,,,,,,
,PEOE_VSA2_Lig,,,,,,,,,
,PEOE_VSA2_Sol,,,,,,,,,
,PEOE_VSA2_Sub,,,,,,,,,
,PEOE_VSA3_Cat,,,,,,,,,
,PEOE_VSA3_Lig,,,,,,,,,
,PEOE_VSA3_Sol,,,,,,,,,
,PEOE_VSA3_Sub,,,,,,,,,
,PEOE_VSA4_Cat,,,,,,,,,
,PEOE_VSA4_Lig,,,,,,,,,
,PEOE_VSA4_Sol,,,,,,,,,
,PEOE_VSA4_Sub,,,,,,,,,
,PEOE_VSA5_Cat,,,,,,,,,
,PEOE_VSA5_Lig,,,,,,,,,
,PEOE_VSA5_Sol,,,,,,,,,
,PEOE_VSA5_Sub,,,,,,,,,
,PEOE_VSA6_Cat,,,,,,,,,
,PEOE_VSA6_Lig,,,,,,,,,
,PEOE_VSA6_Sol,,,,,,,,,
,PEOE_VSA6_Sub,,,,,,,,,
,PEOE_VSA7_Cat,,,,,,,,,
,PEOE_VSA7_Lig,,,,,,,,,
,PEOE_VSA7_Sol,,,,,,,,,
,PEOE_VSA7_Sub,,,,,,,,,
,PEOE_VSA8_Cat,,,,,,,,,
,PEOE_VSA8_Lig,,,,,,,,,
,PEOE_VSA8_Sol,,,,,,,,,
,PEOE_VSA8_Sub,,,,,,,,,
,PEOE_VSA9_Cat,,,,,,,,,
,PEOE_VSA9_Lig,,,,,,,,,
,PEOE_VSA9_Sol,,,,,,,,,
,PEOE_VSA9_Sub,,,,,,,,,
,SlogP_VSA1_Cat,,,,,,,,,
,SlogP_VSA1_Lig,,,,,,,,,
,SlogP_VSA1_Sol,,,,,,,,,
,SlogP_VSA1_Sub,,,,,,,,,
,SlogP_VSA10_Cat,,,,,,,,,
,SlogP_VSA10_Lig,,,,,,,,,
,SlogP_VSA10_Sol,,,,,,,,,
,SlogP_VSA10_Sub,,,,,,,,,
,SlogP_VSA11_Cat,,,,,,,,,
,SlogP_VSA11_Lig,,,,,,,,,
,SlogP_VSA11_Sol,,,,,,,,,
,SlogP_VSA11_Sub,,,,,,,,,
,SlogP_VSA12_Cat,,,,,,,,,
,SlogP_VSA12_Lig,,,,,,,,,
,SlogP_VSA12_Sol,,,,,,,,,
,SlogP_VSA12_Sub,,,,,,,,,
,SlogP_VSA2_Cat,,,,,,,,,
,SlogP_VSA2_Lig,,,,,,,,,
,SlogP_VSA2_Sol,,,,,,,,,
,SlogP_VSA2_Sub,,,,,,,,,
,SlogP_VSA3_Cat,,,,,,,,,
,SlogP_VSA3_Lig,,,,,,,,,
,SlogP_VSA3_Sol,,,,,,,,,
,SlogP_VSA3_Sub,,,,,,,,,
,SlogP_VSA4_Cat,,,,,,,,,
,SlogP_VSA4_Lig,,,,,,,,,
,SlogP_VSA4_Sol,,,,,,,,,
,SlogP_VSA4_Sub,,,,,,,,,
,SlogP_VSA5_Cat,,,,,,,,,
,SlogP_VSA5_Lig,,,,,,,,,
